,company_no,company_name
0,5020618400,DÄLDEHÖG POLAND SP. Z.O.O.
1,5592563935,Skandinaviska Klimatsmarta Hem AB
2,5590655865,Lily Properties AB
3,5592597990,LAROS INGARÖ AB
4,5564709904,Fogdetorps El Aktiebolag
5,5592277056,Bygg & entreprenadledning i Stockholm AB
6,5592623788,Rossmann Design AB
7,5592275191,Linn Rolfsdotter AB
8,5592294358,Getup escalator and elevator solutions AB
9,5592575285,Titania Projektutveckling AB
10,5020619408,MASSIN CO.; LTD.
11,5592798184,Täby Byggkonsult AB
12,5592051295,Årsta Markentreprenad AB
13,5164096611,Safida Montage Sp. z o.o Poland filial
14,5592154826,Ajkr Studios AB
15,5592827496,Exakta Entreprenader AB
16,5591975817,Fredrik Glejpner AB
17,5592651870,MBAL Måleri AB
18,5592464647,SA Schakt & Dränering AB
19,5592465602,Rasmo Bygg AB
20,5592461965,Cream Island Consulting AB
21,5592241136,KRT Kreativ Rörteknik AB
22,5591789820,KWK entreprenad AB
23,5592645443,JBSTK AB
24,5592709223,JM Bemanning AB
25,5568855877,Sportgolvsgruppen Sverige AB
26,5591365738,J.N. Kraftinstallatörer Aktiebolag
27,5020687413,STREITBERG OÜ
28,5020706213,TJ AUTOMATION OY
29,5592702319,Martin & Micke Maskin AB
30,5566966254,Smedborn Förvaltning Aktiebolag
31,5592100993,Nya Arkitektriket AB
32,5164117672,PMPS BIRMINGHAM Filial
33,5020682216,DUDESING PRESTYNG S.R.L.
34,5560998428,BJ Byggteknik Aktiebolag
35,5592566904,Roslagssol AB
36,5592259278,Roger Gidlund KA-tjänst AB
37,5592817679,Z Asfalt & Mark AB
38,5020647318,FISCHER TREPPENBAU GMBH
39,5567058465,V23 Holding AB
40,9697943547,WSR Fastighetsautomation Handelsbolag
41,5592612617,NTAL Entreprenad & Miljö AB
42,5592640105,Elpropp stockholm AB
43,5020673819,TOM NILSSON CO.; LTD
44,5592286750,Hawila Holding AB
45,5592603921,LCC STHLM AB
46,5590275276,Steninge Slott Fastighet 1 AB
47,5592477870,Corleone Bygg AB
48,5592490931,Tak 2.0 AB
49,5592464878,Eideal Trä AB
50,5592278989,Beaut-T-Tools AB
51,5592665193,SVEVISOLAR AB
52,5591881536,Nybygg i Roslagen Fastigheter AB
53,5020623723,HANSA CONSTRUCTIONS OÛ
54,5562154772,Jan Rafstedt Aktiebolag
55,5020699525,"UAB ""ARREGA"""
56,5592814114,Mihais Måleritjänst AB
57,5592335375,Iversen Konsult AB
58,5592480452,JJ Sweleet AB
59,5592529340,LEVANS Bygg & Facility Services Sthlm AB
60,5592538671,Saga Måleri AB
61,9697937028,Ksn It Service kommanditbolag
62,5020685029,TRAVETER VARAHOOLDUS OÜ
63,5591418461,DVN fastighetsutveckling AB
64,5591803613,Pallo Bygg AB
65,5592415847,S Kerstis Konsult AB
66,5592648397,A Carlén Projektteknik AB
67,5560801531,Vallentuna Förvaltnings Aktiebolag
68,5592746548,3MT VVS & BYGG AB
69,5592362189,Adrian Ebrahimi Projekt AB
70,5592546179,J.Noréns Bygg Service AB
71,5591745707,Libertas Group AB
72,5020661533,IRONMADE OY
73,5592666688,Rönngren & Son Entreprenad Konsulting AB
74,5592713266,JOCKE ERIKSSON MARK & GRUND AB
75,5592527997,All ink AB
76,5592711096,Industri VVS i Sverige AB
77,5592365018,Spröjs & Tilja i Lindholmen AB
78,9697934264,Antonio Bygg Handelsbolag
79,5592556681,AXION BYGGSERVICE AB
80,5568351356,Anders Hedberg AB
81,5592537061,ByggPartner08 AB
82,5592349681,Courtyard Bygg och Entreprenad AB
83,5592731573,Jerker Börjes Bygg AB
84,5592363401,Zell el & bygg AB
85,5020767413,LOUNASKAHVILA MAIVI OY
86,5592618515,Baurex AB
87,5020687538,OSAÜHING GRANDECO GROUP
88,5592713795,DG Plattsättning & Bygg AB
89,5561065912,Stuvsta Fastighets Aktiebolag
90,5592443559,DP PLÅT & BYGG AB
91,5565640140,Mark & schaktservice i Stockholm AB
92,5562674332,E.H.K.L. Arkitektgrupp Aktiebolag
93,5020817085,SJH OFFSHORE
94,5020668157,WORLD RECRUITMENT SERVICES
95,5592753916,Bimox Byggentreprenad AB
96,5592604465,Simon Ryhnells Entreprenad AB
97,5592646326,Skampini AB
98,5592449853,Nordens Eltjänst i Stockholm AB
99,5592707102,Robman AB
100,5567035208,Reinova Europe AB
101,5592630221,Dynamic Communication i Brunna AB
102,5020645049,OÜ BOMRAT
103,5592652480,Benjii Måleri AB
104,5592544505,Passion for Hotels Sweden AB
105,5020624150,UAB SENAMIESCIO DIZAINO SALONAS
106,5592447360,Ec Willman Invest AB
107,5592440845,Vambrezia Bygg AB
108,5592586324,Boudeco Styling AB
109,5592556582,MRF byggtjänster AB
110,5020702352,"SIA ""BTK BUVE"""
111,5590846506,SH.EL.SA BYGG AB
112,5592680861,Söderfalks mark & anläggning AB
113,5592176969,Jonie Design AB
114,5592549611,Conny Hansson Måleri AB
115,5592789753,BGT&MN AB
116,5563610707,Glasberga Fastighetsaktiebolag
117,5592390578,Seventy-five Year Plan AB
118,5592438724,O Thunblad AB
119,5020624754,ARCERS SIA
120,5592666555,Peterberg Bygg AB
121,5592538424,Avant Guard AB
122,5592387202,Allstrins Måleri & Design i Vallentuna AB
123,5592553035,TA Corporation AB
124,5592581218,Norrtälje Golv & Plattsättning AB
125,5564037520,Tre Liljor Detaljist Aktiebolag
126,5592696958,ChristerMultiService Partner AB
127,5592614753,ALTERNATIV ANLÄGGNING SKANDINAVIEN AB
128,5592426901,STS Asfalt AB
129,5020642558,SIA G.B.U
